MILESTONE / GROUP,TASK UTAMA,PIC (Dropdown),DEADLINE,STATUS (Dropdown),LOGBOOK HARIAN & OUTPUT (Senin-Jumat)
M5: REPORTING (W10),API Submit Report & Payload,Farchan,31-Mar-26,To Do,"• D46 (Senin, 30 Mar): Finalisasi payload report step 1-2. (Out: Payload final)  • D47 (Selasa, 31 Mar): Endpoint submit report + validasi. (Out: API report aktif)"
M5: REPORTING (W10),Validasi Proof & E2E Status,Farchan,03-Apr-26,To Do,"• D48 (Rabu, 1 Apr): Validasi bukti laporan (media/proof). (Out: Proof rule valid)  • D49 (Kamis, 2 Apr): Sinkron status report pending/history. (Out: Status sinkron)  • D50 (Jumat, 3 Apr): Validasi data laporan masuk E2E. (Out: Report valid)"
M5: REPORTING (W10),UI Wizard Report Step 1-2,Ikram,31-Mar-26,To Do,"• D46 (Senin, 30 Mar): Wizard report step 1. (Out: Step 1 valid)  • D47 (Selasa, 31 Mar): Wizard report step 2 + upload. (Out: Upload flow aktif)"
M5: REPORTING (W10),Validasi Form & UI History,Ikram,03-Apr-26,To Do,"• D48 (Rabu, 1 Apr): Validasi field proof di FE. (Out: Proof form valid)  • D49 (Kamis, 2 Apr): Integrasi history report user. (Out: History report sinkron)  • D50 (Jumat, 3 Apr): Polish wizard report + retest FE. (Out: Reporting FE stabil)"
M6: VERIFICATION (W11),API Verify & Scoring Tambah XP,Farchan,07-Apr-26,To Do,"• D51 (Senin, 6 Apr): Endpoint verify report. (Out: Verify API aktif)  • D52 (Selasa, 7 Apr): Trigger tambah XP saat approve. (Out: Scoring logic valid)"
M6: VERIFICATION (W11),Audit Trail & Status Notification,Farchan,10-Apr-26,To Do,"• D53 (Rabu, 8 Apr): Tambah audit trail status report. (Out: Audit trail backend)  • D54 (Kamis, 9 Apr): Stabilkan notifikasi status report. (Out: Notification backend)  • D55 (Jumat, 10 Apr): Retest verify/scoring E2E. (Out: Verify flow stabil)"
M6: VERIFICATION (W11),Panel Verifikasi Admin/Mod,Ikram,07-Apr-26,To Do,"• D51 (Senin, 6 Apr): Panel verifikasi moderator. (Out: Panel mod siap)  • D52 (Selasa, 7 Apr): Notifikasi status laporan. (Out: Notifikasi tampil)"
M6: VERIFICATION (W11),UI Timeline & Indicator FE,Ikram,10-Apr-26,To Do,"• D53 (Rabu, 8 Apr): Timeline status report UI. (Out: Timeline status aktif)  • D54 (Kamis, 9 Apr): Indikator notifikasi FE. (Out: Indicator FE aktif)  • D55 (Jumat, 10 Apr): Patch bug verifikasi FE. (Out: Verifikasi FE stabil)"
M7: GAMIFICATION (W12),Aggregation & Rank Update API,Farchan,14-Apr-26,To Do,"• D56 (Senin, 13 Apr): Query aggregation leaderboard. (Out: Rank data tersedia)  • D57 (Selasa, 14 Apr): Sinkron update rank pasca verify. (Out: Rank update konsisten)"
M7: GAMIFICATION (W12),Pilar Progress & Optimasi Query,Farchan,17-Apr-26,To Do,"• D58 (Rabu, 15 Apr): Stabilkan service progress pilar. (Out: Progress service stabil)  • D59 (Kamis, 16 Apr): Rule akses leaderboard. (Out: Access rule valid)  • D60 (Jumat, 17 Apr): Optimasi query leaderboard. (Out: Query lebih cepat)"
M7: GAMIFICATION (W12),UI Leaderboard & Rank Card,Ikram,14-Apr-26,To Do,"• D56 (Senin, 13 Apr): UI leaderboard table. (Out: Tabel ranking aktif)  • D57 (Selasa, 14 Apr): Rank card + nilai XP FE. (Out: Rank card sinkron)"
M7: GAMIFICATION (W12),Visual Chart 4 Pilar & CTA,Ikram,17-Apr-26,To Do,"• D58 (Rabu, 15 Apr): Chart statistik 4 pilar. (Out: Visual chart aktif)  • D59 (Kamis, 16 Apr): CTA login/view all leaderboard. (Out: CTA leaderboard aktif)  • D60 (Jumat, 17 Apr): Polish leaderboard FE. (Out: Leaderboard FE stabil)"
M8: REWARD (W13),Generate Sertifikat & Rule Konversi,Farchan,22-Apr-26,To Do,"• D61 (Senin, 20 Apr): Definisi rule 1 kegiatan 1 sertifikat. (Out: Rule sertifikat final)  • D62 (Selasa, 21 Apr): Generate sertifikat dinamis. (Out: Sertifikat gen siap)  • D63 (Rabu, 22 Apr): Definisi konversi poin ke voucher. (Out: Rule konversi final)"
M8: REWARD (W13),API Redeem Poin & Retest,Farchan,24-Apr-26,To Do,"• D64 (Kamis, 23 Apr): Logic redeem poin. (Out: Redeem logic valid)  • D65 (Jumat, 24 Apr): Retest sertifikat + redeem E2E. (Out: Reward backend stabil)"
M8: REWARD (W13),UI History Sertifikat & Katalog,Ikram,22-Apr-26,To Do,"• D61 (Senin, 20 Apr): UI riwayat sertifikat. (Out: Sertifikat history UI)  • D62 (Selasa, 21 Apr): Tombol download sertifikat. (Out: Download UI aktif)  • D63 (Rabu, 22 Apr): Katalog reward + modal redeem. (Out: Catalog UI siap)"
M8: REWARD (W13),Integrasi Flow Redeem Poin,Ikram,24-Apr-26,To Do,"• D64 (Kamis, 23 Apr): Integrasi redeem flow FE. (Out: Redeem FE sinkron)  • D65 (Jumat, 24 Apr): Patch bug reward FE. (Out: Reward FE stabil)"
M9: MITRA (W14),Schema & Public API Mitra,Farchan,28-Apr-26,To Do,"• D66 (Senin, 27 Apr): Definisikan schema request mitra. (Out: Schema mitra final)  • D67 (Selasa, 28 Apr): Endpoint public form mitra. (Out: API mitra aktif)"
M9: MITRA (W14),Routing & Approval Mitra API,Farchan,01-Mei-26,To Do,"• D68 (Rabu, 29 Apr): Routing request mitra by scope. (Out: Routing scope valid)  • D69 (Kamis, 30 Apr): Approval request mitra. (Out: Flow mitra E2E)  • D70 (Jumat, 1 Mei): Uji E2E submit-review mitra. (Out: Mitra stabil)"
M9: MITRA (W14),Landing Page Mitra & Submit FE,Ikram,28-Apr-26,To Do,"• D66 (Senin, 27 Apr): Landing page form mitra. (Out: Form publik tampil)  • D67 (Selasa, 28 Apr): Integrasi submit request mitra FE. (Out: Submit sukses)"
M9: MITRA (W14),Inbox Admin & Review Action FE,Ikram,01-Mei-26,To Do,"• D68 (Rabu, 29 Apr): Inbox review mitra. (Out: Inbox review aktif)  • D69 (Kamis, 30 Apr): Action approve/reject request mitra FE. (Out: Review FE aktif)  • D70 (Jumat, 1 Mei): Polish UI governance mitra. (Out: Mitra FE stabil)"
M10: SECURITY (W15),Threat Model & Input Validation,Farchan,05-Mei-26,To Do,"• D71 (Senin, 4 Mei): Threat modeling + checklist celah. (Out: Daftar risiko)  • D72 (Selasa, 5 Mei): Perketat input validation. (Out: Secure input aktif)"
M10: SECURITY (W15),"Rate Limit, CORS & Regression",Farchan,08-Mei-26,To Do,"• D73 (Rabu, 6 Mei): Implement rate limiting. (Out: Anti-spam aktif)  • D74 (Kamis, 7 Mei): Setup CORS + security headers. (Out: Secure headers)  • D75 (Jumat, 8 Mei): Security regression backend. (Out: Baseline pass)"
M10: SECURITY (W15),Audit UI Sensitif & Sync Validasi,Ikram,05-Mei-26,To Do,"• D71 (Senin, 4 Mei): Audit layar sensitif FE produksi. (Out: Daftar area sensitif)  • D72 (Selasa, 5 Mei): Sinkron validasi input FE dengan backend. (Out: Validasi FE konsisten)"
M10: SECURITY (W15),Error Handling FE & Responsiveness,Ikram,08-Mei-26,To Do,"• D73 (Rabu, 6 Mei): Handling error 429/500/404 FE. (Out: Error states siap)  • D74 (Kamis, 7 Mei): Uji perilaku FE mode production. (Out: FE-prod pass)  • D75 (Jumat, 8 Mei): Cek responsive mobile-desktop. (Out: Responsive pass)"
M11: INTEGRATION (W16),Lintas Modul & Skenario Demo,Berdua,12-Mei-26,To Do,"• D76 (Senin, 11 Mei): Integrasi lintas modul domain. (Out: Connected app)  • D77 (Selasa, 12 Mei): Susun skenario demo multi-role. (Out: Script demo v1)"
M11: INTEGRATION (W16),Seed Data & Candidate Build,Berdua,15-Mei-26,To Do,"• D78 (Rabu, 13 Mei): Seed data demo multi-role. (Out: Data demo siap)  • D79 (Kamis, 14 Mei): Dry run UAT internal. (Out: UAT dry-run notes)  • D80 (Jumat, 15 Mei): Freeze candidate build. (Out: Build v1.0)"
M12: QA EXECUTION (W17),Test Plan & QA Tahap 1,Berdua,19-Mei-26,To Do,"• D81 (Senin, 18 Mei): Finalisasi test case. (Out: Test plan)  • D82 (Selasa, 19 Mei): Test auth/event/report. (Out: Log bug 1)"
M12: QA EXECUTION (W17),QA Tahap 2 & Triage Bug,Berdua,22-Mei-26,To Do,"• D83 (Rabu, 20 Mei): Test verify/reward/mitra. (Out: Log bug 2)  • D84 (Kamis, 21 Mei): Triage dan prioritas bug. (Out: Bug list fix)  • D85 (Jumat, 22 Mei): Final patch-plan W18. (Out: Rencana patch final)"
M13: BUG FIXING (W18),Fix High/Critical Bugs,Berdua,26-Mei-26,To Do,"• D86 (Senin, 25 Mei): Fix high severity bugs. (Out: Patch critical)  • D87 (Selasa, 26 Mei): Fix medium severity bugs. (Out: Patch major)"
M13: BUG FIXING (W18),Fix Medium & Retest Stabil,Berdua,29-Mei-26,To Do,"• D88 (Rabu, 27 Mei): Retest patch lintas role. (Out: Retest report)  • D89 (Kamis, 28 Mei): Stabilization patch critical path. (Out: Patch stabil)  • D90 (Jumat, 29 Mei): Stabilization build final. (Out: Build stabil)"
M14: DOCS & PITCH (W19),Update Bab KP & Bukti Teknis,Farchan,02-Jun-26,To Do,"• D91 (Senin, 1 Jun): Update bab implementasi KP. (Out: Draft bab final)  • D92 (Selasa, 2 Jun): Finalisasi logbook + bukti teknis. (Out: Arsip bukti lengkap)"
M14: DOCS & PITCH (W19),Script Pitch & Rehearsal QnA,Farchan,05-Jun-26,To Do,"• D93 (Rabu, 3 Jun): Finalisasi narasi teknis pitching. (Out: Script pitch)  • D94 (Kamis, 4 Jun): Rehearsal presentasi + QnA. (Out: Rehearsal notes)  • D95 (Jumat, 5 Jun): Revisi final dokumen KP. (Out: Paket sidang siap)"
M14: DOCS & PITCH (W19),Capture UI & Rapikan Aset FE,Ikram,02-Jun-26,To Do,"• D91 (Senin, 1 Jun): Capture UI final untuk laporan. (Out: Asset gambar)  • D92 (Selasa, 2 Jun): Rapikan file desain/asset FE. (Out: Arsip desain final)"
M14: DOCS & PITCH (W19),Deck PPT & Video Demo Flow,Ikram,05-Jun-26,To Do,"• D93 (Rabu, 3 Jun): Final deck PPT + video demo. (Out: Deck final)  • D94 (Kamis, 4 Jun): Rehearsal flow demo FE. (Out: Demo rehearsal)  • D95 (Jumat, 5 Jun): Revisi visual final pasca rehearsal. (Out: Paket visual siap)"
M15: CLOSING (W20),UAT Mentor & Minor Patch,Berdua,09-Jun-26,To Do,"• D96 (Senin, 8 Jun): UAT final ke mentor. (Out: UAT sign-off)  • D97 (Selasa, 9 Jun): Implement minor patch final. (Out: Minor patch complete)"
M15: CLOSING (W20),Handover & Submit Laporan,Berdua,12-Jun-26,To Do,"• D98 (Rabu, 10 Jun): Final readiness note + handoff check. (Out: Readiness note)  • D99 (Kamis, 11 Jun): Arsip source code dan handover. (Out: Paket handover)  • D100 (Jumat, 12 Jun): Submit laporan final. (Out: DONE)"
